species,sample,cellline,sensitivity,group,treatment,pct
PI(O-7:0_11:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.22814247277568211
PI(O-17:1_23:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.06497855343552655
PI(O-16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.02946336272658123
PI(18:0_19:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.5575400436138838
PI(P-20:6_23:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.4619978480203488
PI(18:1_24:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.029766678268903307
PI(16:0_16:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.28036890238663087
PI(16:1_18:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.19074398951664204
PI(16:1_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.8401495519790464
PI(16:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,5.725005437899251
PI(16:0_20:5),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.06480144722411053
PI(16:0_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.9829945719966773
PI(22:1_14:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0074884237320657085
PI(16:0_20:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.6475826775128384
PI(18:0_18:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,4.2101980113443975
PI(18:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,7.83458879724017
PI(18:1_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.043457660517945126
PI(36:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.01653865519791025
PI(16:0_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.26735704928864273
PI(18:1_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,4.323490021806008
PI(18:0_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,47.722457294687075
PI(18:0_20:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.8354023805670083
PI(18:1_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.10982088330967214
PI(22:6_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.430928847727189
PI(18:0_22:5),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.6395334723875714
PI(16:0_14:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.012047449247423176
PI(15:1_17:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.017335549730841702
PI(16:0_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.5607894129894256
PI(16:0_17:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.31586545041563874
PI(O-16:0_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.024233351395464384
PI(17:1_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.3389280164098035
PI(17:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.8870715648991834
PI(O-16:0_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.002850490448209244
PI(O-16:0_22:5),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.09349818598484211
PI(17:0_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.5255765716345377
PI(18:0_19:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.21459407294699967
PI(18:0_20:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.1018651131164003
PI(17:0_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.024907087213529383
PI(26:1_14:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.06369520792384155
PI(24:3_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.009631712921725533
PI(18:0_22:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.21383422082762998
PI(18:0_21:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2837949212439789
PI(19:0_21:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.033187495153273426
PI(18:0_22:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.9000208239528003
PI(P-7:0_21:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.2459965789128729
PI(16:0_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,4.465701006707279
PI(18:1_19:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.4255539951753293
PI(18:0_20:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.04995035497736782
PI(17:1_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.03456595288264093
PI(18:1_21:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.4220364436441378
PI(O-13:1_15:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.2701919407584132
PI(P-11:0_21:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.043794715454305605
PI(14:0_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.019399399329485603
PI(14:0_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.01511365936386356
PI(12:0_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0
PI(O-16:0_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.010781426443596953
PI(O-16:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.019915453960825835
PI(O-18:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.004956086518209659
PI(18:0_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.053688874144880126
PI(O-18:0_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.02990750657664351
PI(20:4_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.005464825924536214
PI(P-11:0_22:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.02073949627291291
PI(19:1_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2514985133985315
PI(16:1_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.18485616152462783
PI(15:0_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.007131256850904431
PI(18:1_14:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0
PI(16:0_16:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0
PI(16:0_17:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2591057374988079
PI(17:0_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.35281416552637074
PI(4:0_10:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.1254546467881733
PI(P-9:0_22:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.006868057374311908
PI(O-18:1_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0
PI(O-18:0_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.024403991514050993
PI(O-16:0_16:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.001521353075271244
PI(16:0_19:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.01637643391189991
PI(O-18:0_22:5),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0761921000572748
PI(18:0_22:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,5.146801796836544e-10
PI(36:9),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.027591891967816588
PI(O-7:0_11:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.14477541320150653
PI(O-17:1_23:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.03615191244042359
PI(O-16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.018958434907765803
PI(18:0_19:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.2209838059054372
PI(P-20:6_23:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.25787811047435694
PI(18:1_24:5),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.05304552124407848
PI(16:0_16:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.6280939397014614
PI(16:1_18:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.24597414126685566
PI(16:1_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.9394242883898671
PI(16:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,5.086835706668262
PI(16:0_20:5),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.1723905308909626
PI(16:0_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,4.416674388300139
PI(22:1_14:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.0965119628046825
PI(16:0_20:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.954037413248051
PI(18:0_18:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,3.9920001639139135
PI(18:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,4.77902621681509
PI(18:1_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.0036599140181750845
PI(36:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.0032497065888725577
PI(16:0_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.48443094069779546
PI(18:1_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,4.852992595305807
PI(18:0_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,44.94395496059685
PI(18:0_20:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,2.482917253647724
PI(18:1_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.1493267991306384
PI(22:6_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.7744770639059804
PI(18:0_22:5),Area[s31-1],CaCo2,Res,Resistant,Ctr,2.119753996648313
PI(16:0_14:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.006420397546812368
PI(15:1_17:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.01641862534628418
PI(16:0_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.938989171057791
PI(16:0_17:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.1761741212323251
PI(O-16:0_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.19301930054050975
PI(17:1_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.2230461572181899
PI(17:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.31995670549715854
PI(O-16:0_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.06806631436907473
PI(O-16:0_22:5),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.24414285453288415
PI(17:0_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.5640908218885462
PI(18:0_19:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.2827653116753218
PI(18:0_20:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.541654084944406
PI(17:0_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.04696854627149072
PI(26:1_14:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.18075389595007169
PI(24:3_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.041461294997217714
PI(18:0_22:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.17962251331700305
PI(18:0_21:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.29318042065648003
PI(19:0_21:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.023134292134643263
PI(18:0_22:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.1064323528252005
PI(P-7:0_21:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,2.4139126473267147
PI(16:0_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.5538106599543884
