species,sample,cellline,sensitivity,group,treatment,pct
Cer(t21:1_23:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.1763956081102313
Cer(m10:0_13:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.6888803551016204
Cer(m18:2_22:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.22838678125344747
Cer(t19:1_21:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.07575150011808293
Cer(d18:1_22:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.6455550161401917
Cer(m20:2_24:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.044186380806475085
Cer(t19:0_19:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.06164326276800903
Cer(t21:1_23:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.2214659637686705
Cer(t13:2_22:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.5242665093319097
Cer(m20:2_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.12217862965231538
Cer(d19:1_26:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.581186618972258
Cer(m18:1_22:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.5750705691243932
Cer(d17:1_29:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.8200734249929293
Cer(t17:0_26:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.5070372268226429
Cer(d23:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.015347063590956375
Cer(m13:1_10:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.058798766528763965
